index,Bchamp1,Bchamp2,Bchamp3,Bchamp4,Bchamp5,Rchamp1,Rchamp2,Rchamp3,Rchamp4,Rchamp5,Bwins
301,Gragas,LeeSin,Yone,Jinx,Shen,Aatrox,RekSai,Kaisa,Zeri,Nautilus,False
302,Kayle,Varus,Olaf,Yone,Qiyana,Viktor,Vex,Syndra,Gnar,Khazix,True
303,Gragas,Karma,Graves,Kaisa,Senna,Rumble,Viego,Ahri,Zeri,Rakan,False
305,Kayle,Kayn,Taliyah,Nautilus,Zac,Pyke,Malzahar,Ashe,Lucian,Jhin,False
307,Shen,Graves,Ahri,Jhin,Karma,Irelia,Volibear,Veigar,Jinx,Nautilus,False
308,Renekton,Hecarim,Zoe,Jinx,Thresh,Irelia,Viego,Ryze,Samira,Nautilus,True
309,Jax,LeeSin,Leblanc,Senna,TahmKench,Graves,Poppy,Ahri,Jinx,Leona,False
310,Poppy,Gragas,Talon,Ezreal,Lux,Tryndamere,Trundle,Xerath,Jhin,Karma,True
311,Quinn,Brand,Sivir,Rammus,Kaisa,Varus,Kindred,Kayn,Xayah,Maokai,True
313,Azir,Veigar,Yuumi,Diana,Jhin,Fizz,Samira,Maokai,LeeSin,Nami,False
314,Gragas,Kayn,Kaisa,Zeri,Nautilus,Yone,Hecarim,Vex,Aphelios,Rakan,True
315,Shen,Viego,Leblanc,Aphelios,Galio,Jayce,Zac,Ahri,Samira,Rell,True
316,Sion,Viego,Zilean,Samira,Sett,Gwen,RekSai,Vex,Kaisa,Galio,True
317,Lucian,Nidalee,Jayce,Xayah,Leona,Viktor,LeeSin,Volibear,Kaisa,Nautilus,False
318,Graves,Diana,TwistedFate,Jhin,Nautilus,Jayce,Kindred,Ryze,Kaisa,Sett,True
319,Tryndamere,Viego,Leblanc,Caitlyn,Karma,Gragas,Hecarim,Sylas,Aphelios,Thresh,True
321,LeeSin,Khazix,Kaisa,Xayah,Rakan,Jax,Akshan,Nidalee,Aphelios,Leona,False
322,Karma,Hecarim,Vex,Zeri,Senna,Renekton,Karthus,Talon,Draven,Nautilus,True
323,Fiora,Hecarim,Ahri,Xayah,Nautilus,Jax,Qiyana,Renata,Aphelios,Kaisa,False
324,Poppy,Viego,Leblanc,Tristana,Nautilus,Tryndamere,Volibear,Vex,Zeri,Karma,True
325,Graves,XinZhao,Akali,Xerath,Varus,Akshan,Volibear,Vex,Tristana,Nautilus,False
326,Poppy,Volibear,Sylas,Jinx,Nautilus,Graves,Elise,Leblanc,Zeri,Alistar,True
327,Jayce,LeeSin,Orianna,Jinx,Nautilus,Karma,RekSai,Vex,Jhin,TahmKench,False
328,Jayce,Volibear,Kaisa,Vayne,Sett,Gragas,Viego,Ahri,Samira,Rell,False
329,Graves,RekSai,Sylas,Draven,Nautilus,Tryndamere,Volibear,Vex,Pyke,Kaisa,True
330,Fiora,Nidalee,Irelia,Jinx,Lulu,Kennen,Zed,Yone,Kaisa,Nautilus,False
331,Volibear,Hecarim,Kaisa,Varus,Leona,Poppy,Olaf,Viktor,Xayah,Rakan,False
332,Gangplank,Qiyana,Syndra,Kaisa,Pyke,Shen,Graves,Zoe,Xayah,Renata,False
333,Gnar,Nidalee,Xayah,Samira,Rakan,Gragas,Viego,Leblanc,Zeri,Nautilus,False
334,Jayce,Yuumi,Syndra,Ezreal,Talon,Graves,Nidalee,Ahri,Kaisa,Nautilus,False
335,Gangplank,Ryze,Qiyana,Ezreal,Bard,Kennen,Hecarim,Yone,Xayah,Veigar,True
336,Shen,Zed,Kaisa,Lucian,Nami,Rumble,LeeSin,Vex,Zeri,Lulu,True
337,Poppy,RekSai,Corki,Xayah,Janna,Lulu,LeeSin,Kaisa,Jhin,Galio,False
338,Camille,Nidalee,Xayah,Zeri,Renata,Fiora,XinZhao,Kaisa,Ezreal,Karma,True
340,Hecarim,Graves,Orianna,Vayne,Lulu,LeeSin,Volibear,Galio,Jinx,TahmKench,False
341,LeeSin,Ahri,Kaisa,Pyke,Yone,Nidalee,Blitzcrank,Leblanc,Warwick,Aphelios,True
343,Akshan,Poppy,Ryze,Jinx,TahmKench,Irelia,Lillia,Talon,Zeri,Yuumi,True
344,Graves,XinZhao,Viktor,Kaisa,Pyke,LeeSin,Viego,Ryze,Jinx,Thresh,True
345,Yuumi,Yasuo,Viktor,LeeSin,Tryndamere,Yone,Diana,Kaisa,Karma,Graves,True
346,Kennen,Heimerdinger,Lucian,Alistar,Janna,MissFortune,FiddleSticks,Lulu,Viktor,Jinx,False
347,Shen,LeeSin,Kaisa,Xayah,Rakan,Kennen,Poppy,Ahri,Jinx,Thresh,False
348,Tryndamere,Viego,Ryze,Zeri,Lulu,XinZhao,Graves,Zoe,Kaisa,Nautilus,False
349,Lillia,Maokai,Twitch,Xayah,Sett,Janna,Vladimir,Yuumi,Brand,KogMaw,False
350,Malphite,LeeSin,Karma,Xayah,Nautilus,Jayce,Viego,Leblanc,MissFortune,Rakan,True
352,Akali,Hecarim,Zoe,Draven,Nautilus,Graves,Volibear,Talon,Kaisa,Leona,True
353,Renekton,LeeSin,Ahri,Jinx,Poppy,Gnar,Hecarim,Thresh,Aphelios,Akali,True
354,Tryndamere,Hecarim,Kaisa,Ezreal,Karma,Malphite,Nautilus,Zeri,Jinx,Viego,False
356,Leona,Nidalee,Zed,Jinx,Blitzcrank,Lulu,Diana,Graves,Aphelios,Nautilus,True
357,Tryndamere,LeeSin,Galio,Samira,Renata,Gragas,Viego,Ryze,Zeri,Yuumi,False
358,Cassiopeia,Nami,Rumble,Aatrox,Aphelios,Yasuo,Zilean,Ezreal,Ornn,JarvanIV,True
359,Diana,Rumble,Yone,Jinx,Karma,Kennen,LeeSin,Sylas,Caitlyn,Lux,True
360,LeeSin,Gragas,Ryze,Jinx,Zilean,Yone,MasterYi,Viktor,Aphelios,Rakan,False
361,Jayce,LeeSin,Anivia,Samira,Rakan,Graves,Viego,Akali,Kaisa,Pyke,True
362,Kennen,XinZhao,Leblanc,Jhin,Nautilus,Jax,Nidalee,Renekton,Aphelios,Karma,False
363,Akali,Volibear,Talon,Zeri,TahmKench,Renekton,Nidalee,Qiyana,Kaisa,Renata,True
364,Diana,Viego,Yasuo,Jinx,Sett,Graves,LeeSin,Leblanc,Aphelios,Nautilus,False
365,Camille,Karthus,Akshan,Zeri,Alistar,Volibear,Viktor,Talon,Xayah,Nautilus,True
366,Fiora,Leona,Brand,Varus,Lucian,KogMaw,Gwen,Akali,Jayce,Alistar,False
367,Lulu,JarvanIV,Azir,Jinx,Nautilus,Graves,RekSai,Ahri,Ezreal,Alistar,True
368,Shyvana,Graves,Syndra,Zeri,Sett,Jayce,RekSai,Akali,KogMaw,Lulu,False
369,Jayce,RekSai,Ahri,Aphelios,TahmKench,Irelia,LeeSin,Veigar,Jinx,Leona,False
370,Jayce,LeeSin,Vex,Syndra,Pyke,Irelia,Poppy,Ahri,Zeri,Renata,False
371,Poppy,Graves,Ahri,Ezreal,Karma,Camille,LeeSin,Orianna,Sylas,Taric,True
372,Pyke,Kindred,Kaisa,Jinx,Nautilus,Poppy,Viego,Annie,Ezreal,Alistar,False
373,Vladimir,Viego,Ahri,Kaisa,Renata,Kennen,LeeSin,Vex,Senna,TahmKench,False
374,Xerath,Sion,Pyke,Vex,Vi,Swain,Rumble,Seraphine,Khazix,Kindred,False
375,Renekton,Yuumi,Veigar,Ezreal,XinZhao,Hecarim,Lulu,Kassadin,Aphelios,Nautilus,False
376,Katarina,Janna,JarvanIV,MissFortune,Leona,Twitch,Lillia,Blitzcrank,Caitlyn,Kaisa,True
377,Rumble,Hecarim,Viktor,Jinx,Leona,Graves,LeeSin,Leblanc,Xayah,TahmKench,True
378,Riven,Hecarim,Anivia,Tristana,Nautilus,Shen,Kindred,Lulu,Zeri,Alistar,True
379,Tryndamere,Gragas,Yone,Aphelios,Nautilus,Akshan,RekSai,Ryze,Ezreal,Karma,True
380,Fiora,Graves,Ahri,Ezreal,Karma,Tryndamere,Viego,Ekko,Yasuo,Renata,True
381,Poppy,Viego,Akali,Jhin,Nautilus,Jayce,Qiyana,Viktor,Jinx,Rakan,True
382,Tryndamere,Volibear,Kaisa,Zeri,Alistar,Graves,Elise,Azir,Draven,Leona,False
383,Urgot,Hecarim,Akali,Jinx,TahmKench,RekSai,Olaf,Ryze,Xayah,Leona,False
384,Jayce,Viego,Leblanc,Jhin,Rakan,Yone,Volibear,Zeri,Kaisa,Sett,False
385,Fiora,Qiyana,Senna,Viktor,Karma,Akshan,Hecarim,Ryze,Jinx,TahmKench,False
386,Jayce,Hecarim,Yasuo,Pyke,Kaisa,Poppy,Graves,Akali,Xayah,Rakan,False
387,Ahri,Hecarim,Graves,Jhin,Renata,Akshan,Viego,Ryze,Ezreal,Karma,False
388,Fiora,LeeSin,Ahri,Ezreal,Leona,Irelia,Poppy,Kaisa,Draven,Maokai,True
389,Shen,LeeSin,Ryze,Tristana,Rakan,Rumble,Talon,Akshan,Ezreal,Nautilus,False
390,Karma,Aphelios,Zoe,Ashe,Leona,Rumble,Jinx,Quinn,Gangplank,Akali,False
391,Kennen,JarvanIV,Ryze,Lucian,Nami,Graves,RekSai,Kaisa,Zeri,Renata,True
392,Malphite,Graves,Talon,Zeri,Karma,Teemo,Viego,Darius,Kaisa,Renata,True
393,Caitlyn,Taliyah,Kaisa,Rammus,Varus,Akali,Jax,Ekko,Xayah,Neeko,False
395,Graves,Nocturne,Ahri,Draven,Nautilus,Jayce,Volibear,Leblanc,Xayah,Leona,True
396,Aatrox,Kindred,Zoe,Xayah,Senna,Volibear,Viego,Sylas,Samira,Rell,False
397,Yorick,Diana,Vex,Jhin,Thresh,Sett,Karma,Syndra,Caitlyn,Viego,False
398,Graves,Viego,Fizz,Jhin,Anivia,Gnar,LeeSin,Galio,Zeri,Lulu,False
399,Fiora,Qiyana,Anivia,Jhin,Renata,Kennen,Viego,Zilean,Xayah,Rakan,False
400,Trundle,Hecarim,Vex,Ziggs,Pyke,Poppy,LeeSin,Leblanc,Tristana,Rakan,True
401,DrMundo,Akshan,Ahri,Draven,Renata,Volibear,LeeSin,Kaisa,Zeri,TahmKench,True
402,Sion,LeeSin,Vex,Draven,Gragas,Akshan,RekSai,Leblanc,Zeri,Renata,True
403,Fiora,Hecarim,Vex,Ezreal,Karma,Pyke,Diana,Talon,Xayah,Renata,True
404,Seraphine,Aatrox,Varus,Orianna,Viktor,KogMaw,Sona,FiddleSticks,Zeri,Ziggs,True
405,Graves,RekSai,Vex,Zeri,TahmKench,Camille,Qiyana,Syndra,Kaisa,Nautilus,False
406,Jayce,Lillia,Kaisa,Aphelios,Pyke,Poppy,Viego,Ryze,Xayah,Rakan,False
407,Volibear,Hecarim,Taliyah,Zeri,Nautilus,Graves,Diana,Yone,Aphelios,Morgana,False
408,MasterYi,Sylas,Syndra,Gragas,Neeko,Urgot,Sivir,Fiora,Morgana,Graves,True
409,Gnar,Diana,Yasuo,Ezreal,Yuumi,Renekton,Ekko,Kaisa,Jhin,Karma,False
410,Jax,Viego,Sylas,Xayah,Rakan,Cassiopeia,Qiyana,Galio,MissFortune,Nautilus,False
411,Tryndamere,Viego,Anivia,Zeri,Yuumi,Fiora,Poppy,Veigar,Xayah,Sett,True
412,Jayce,Hecarim,Syndra,Sett,Ezreal,Gragas,Volibear,Talon,Xayah,Nautilus,False
413,Fiora,Hecarim,Ahri,Jinx,Thresh,Akali,Qiyana,Akshan,Xayah,Rakan,False
414,Irelia,LeeSin,Lux,Lucian,Twitch,Samira,Veigar,Volibear,Vex,Alistar,False
416,Zoe,Kennen,Leblanc,Qiyana,Ezreal,Vex,Samira,Xerath,Trundle,MissFortune,True
417,Graves,LeeSin,Leblanc,Jhin,Rakan,Poppy,Hecarim,Viktor,Aphelios,Jayce,False
419,Ashe,Evelynn,Ekko,Xayah,Brand,Kennen,Karma,Caitlyn,Azir,Jhin,True
420,Lulu,Hecarim,Galio,Tristana,Rakan,Camille,Talon,Corki,Ezreal,Nautilus,True
421,Lulu,Volibear,Yuumi,Jinx,Zoe,Gragas,Zed,Ahri,Ezreal,Pyke,True
423,Irelia,Viego,Ryze,Zeri,Renata,Graves,LeeSin,Singed,Jinx,Yuumi,False
424,Poppy,LeeSin,Galio,Ezreal,Karma,Tryndamere,Qiyana,Leblanc,Kaisa,Nautilus,True
425,Ahri,Katarina,RekSai,Xerath,Shen,Lucian,Vex,Zed,Orianna,Shyvana,True
426,Irelia,Hecarim,Vex,Jhin,Yuumi,Gnar,Diana,Graves,Caitlyn,Renata,True
427,Kennen,Hecarim,Zoe,Zeri,Karma,Irelia,LeeSin,Kaisa,Ezreal,Senna,False
428,LeeSin,Khazix,Ahri,Kaisa,Galio,Fiora,Viego,Pyke,Xayah,Vex,False
429,Graves,Nocturne,Ahri,Tristana,Anivia,Poppy,LeeSin,Malzahar,Zeri,Alistar,True
430,Renekton,LeeSin,Vex,Jinx,Nautilus,Tryndamere,RekSai,Leblanc,Kaisa,Sett,False
432,Volibear,Viego,Leblanc,Jinx,Renata,Renekton,Khazix,Kaisa,Jhin,Veigar,False
433,Gragas,LeeSin,Akali,Kaisa,Nautilus,Sylas,Viego,Viktor,Caitlyn,Sett,False
434,Aphelios,Vex,Velkoz,Syndra,Varus,Nocturne,Xerath,Senna,Nautilus,Gnar,False
435,Graves,Volibear,Leblanc,Zeri,Renata,Renekton,RekSai,Vex,Kaisa,Nautilus,False
436,Renekton,Khazix,Orianna,Zeri,Renata,Urgot,RekSai,Galio,Jhin,Bard,False
437,Tryndamere,Volibear,Viktor,Jinx,Rakan,Yone,Kindred,Lulu,Senna,TahmKench,True
438,Yone,Gwen,Pyke,Draven,Gragas,Viego,Ornn,Ahri,Samira,Nautilus,True
439,Jayce,Viego,Ahri,Xayah,Rakan,Lulu,LeeSin,Ryze,Varus,TahmKench,False
440,Samira,Viego,Viktor,Irelia,Sett,Jinx,Volibear,Orianna,Lulu,Nautilus,False
441,LeeSin,Graves,Vex,Jhin,Renata,Volibear,XinZhao,Azir,Aphelios,Karma,True
442,Graves,Kindred,Leblanc,Tristana,Renata,Irelia,JarvanIV,TwistedFate,Zeri,TahmKench,True
443,Jayce,Kindred,Sylas,Viego,Braum,Karma,Graves,Galio,Samira,Alistar,True
444,Gnar,RekSai,Ahri,Jinx,Karma,Gragas,Khazix,Vex,Ezreal,Renata,True
445,Kennen,Kindred,Zoe,Jhin,Yuumi,XinZhao,Akali,Ahri,Jinx,Sona,True
446,Akshan,Hecarim,Ahri,Ezreal,Leona,Irelia,Viego,Tristana,Kaisa,Sett,False
447,Tryndamere,Taliyah,Poppy,Jinx,Nautilus,Lucian,Volibear,Sylas,Kaisa,Sett,True
448,Nasus,Zed,Nautilus,Xayah,Lulu,Jinx,Qiyana,Volibear,Akali,Janna,True
449,Akali,Vi,TwistedFate,Draven,Sett,Maokai,Hecarim,Ahri,Twitch,Braum,True
450,Aatrox,Kindred,Ahri,Caitlyn,Karma,Fiora,LeeSin,Ryze,Jhin,Yuumi,True
451,Gangplank,Hecarim,Galio,Kaisa,Sett,Tryndamere,Diana,Talon,Zeri,Leona,True
452,Graves,Jax,Sylas,Ezreal,Karma,Yone,RekSai,Ahri,Kaisa,Nautilus,False
453,Irelia,LeeSin,Ahri,Ezreal,Alistar,Lulu,Graves,Xayah,Zeri,Nautilus,False
454,Tryndamere,Viego,Viktor,Ezreal,Senna,Warwick,Nidalee,Yone,Lucian,Karma,True
455,Corki,Nami,Akshan,Nidalee,Taliyah,Tristana,Blitzcrank,Mordekaiser,Jinx,Twitch,True
456,Jayce,Kindred,Vex,Jinx,Rakan,Malphite,Viego,Corki,Varus,TahmKench,True
457,Jayce,Diana,Yone,Xayah,Nautilus,Malphite,Viego,Kaisa,Jhin,JarvanIV,False
458,Hecarim,Akali,Ryze,Kaisa,Leona,Yone,Nidalee,Orianna,Zeri,Nautilus,True
459,Gnar,Diana,Yasuo,Twitch,Rakan,Poppy,Hecarim,Syndra,Senna,TahmKench,False
460,Leblanc,Hecarim,Rakan,Xayah,Qiyana,Chogath,Diana,Talon,Jhin,Nautilus,False
461,Graves,XinZhao,Leblanc,Zeri,Renata,Fiora,Nidalee,Vex,Xayah,Nautilus,True
462,Irelia,Ekko,Talon,Kaisa,Nautilus,Volibear,Graves,Lillia,Zeri,Renata,False
463,Jhin,Viego,Sylas,Velkoz,FiddleSticks,TahmKench,Azir,Akshan,Lillia,Zoe,False
464,Tryndamere,Volibear,Galio,Xayah,Rakan,Jayce,Taliyah,Qiyana,Kaisa,Nautilus,True
465,Viego,Pyke,Kaisa,Poppy,Vex,Katarina,Karma,Jinx,Tryndamere,Zac,False
466,Volibear,LeeSin,Ahri,Jhin,Karma,Gnar,XinZhao,Zilean,Xayah,Nautilus,False
467,Kindred,Rumble,Leona,FiddleSticks,Maokai,Velkoz,Leblanc,Gwen,Karthus,Talon,True
468,Renekton,LeeSin,Ryze,Xayah,Rakan,Jayce,Nidalee,Leblanc,Ezreal,Pyke,True
469,Sion,Graves,Riven,MissFortune,Karma,Jax,Viego,Rumble,Xayah,Renata,False
470,Malphite,Karthus,Yone,Jinx,TahmKench,MasterYi,Hecarim,Ahri,Lucian,Nami,False
471,Shen,XinZhao,Sylas,Zeri,Bard,Gangplank,Volibear,Corki,Samira,Sion,True
472,Jayce,Kayn,Zoe,Kalista,Rakan,Blitzcrank,Tryndamere,Leblanc,LeeSin,Xayah,False
473,Lulu,RekSai,Viktor,Senna,TahmKench,Graves,Diana,Nautilus,Ezreal,Yasuo,True
474,Jayce,Nidalee,Veigar,Samira,Nautilus,Graves,Hecarim,Anivia,Xayah,Renata,False
475,Akali,Hecarim,TwistedFate,Jinx,Poppy,Vayne,Talon,Leblanc,Aphelios,Nautilus,True
476,Irelia,LeeSin,Orianna,Zeri,Yuumi,Jayce,XinZhao,Syndra,Xayah,Rumble,True
477,Graves,LeeSin,Ahri,Samira,Nautilus,Camille,RekSai,Urgot,Ziggs,Rakan,False
478,Ahri,Viego,Lulu,Xayah,Rakan,Akali,XinZhao,Syndra,Zeri,Renata,False
479,Gangplank,Taliyah,Talon,Varus,Renata,Vladimir,LeeSin,Syndra,Xayah,Nautilus,False
480,Lucian,LeeSin,Vex,Zeri,Karma,Samira,Diana,Varus,Jayce,Rell,False
481,Zeri,Lulu,Kaisa,Irelia,RekSai,Gangplank,LeeSin,Ezreal,Corki,Lulu,True
482,Draven,Graves,Lulu,Kaisa,Blitzcrank,Zeri,Qiyana,Galio,Pyke,Ezreal,True
483,Jayce,Volibear,Leblanc,Xayah,Senna,Poppy,Diana,Talon,MissFortune,Shaco,False
484,Tryndamere,XinZhao,Ahri,Caitlyn,Lux,Fiora,Talon,Veigar,Jinx,Karma,True
485,Nidalee,Jayce,Leblanc,Zeri,Nautilus,Tryndamere,Ahri,Zac,Jinx,Leona,False
486,Gwen,Hecarim,Veigar,Jinx,Thresh,Ryze,Talon,Akali,Yasuo,Alistar,False
487,Tryndamere,RekSai,Viktor,Jinx,Lulu,Gwen,LeeSin,Akali,Ezreal,Renata,True
488,Irelia,Nidalee,LeeSin,Xerath,Senna,Jayce,RekSai,Ahri,Xayah,Rakan,False
490,Kennen,XinZhao,Ryze,Ezreal,Pyke,Graves,Nidalee,Irelia,Xayah,Rakan,True
491,Renata,Viego,Ahri,Caitlyn,Renekton,Gnar,Kaisa,Galio,Hecarim,Karma,False
492,Rumble,LeeSin,Ahri,Caitlyn,Lulu,Irelia,Nidalee,TwistedFate,Senna,TahmKench,True
493,Shen,Gwen,Orianna,Zeri,Renata,Riven,LeeSin,Zoe,Draven,Nautilus,False
494,Camille,Viego,Lissandra,Aphelios,Sett,Renekton,LeeSin,Ahri,Jinx,Nautilus,False
495,Nautilus,Karma,RekSai,Kaisa,Malphite,Kennen,LeeSin,Vex,Zeri,Renata,True
497,Annie,MasterYi,Lissandra,Talon,Caitlyn,Akali,Gragas,MissFortune,Rengar,Brand,True
499,Pyke,Fizz,Sylas,TahmKench,Illaoi,Kaisa,Volibear,Jinx,Garen,Senna,False
500,Jayce,Shaco,Kaisa,Samira,Nautilus,Irelia,Taliyah,Sion,Xayah,Rakan,True
501,Kennen,Lulu,Veigar,Jinx,XinZhao,LeeSin,RekSai,Ahri,Aphelios,Sett,True
502,Kennen,LeeSin,Pyke,Jhin,Soraka,Tryndamere,Poppy,Annie,Aphelios,Senna,False
503,Graves,RekSai,Ahri,Draven,Thresh,Jayce,LeeSin,Zoe,Zeri,Nautilus,True
504,Tryndamere,Qiyana,Ahri,Kaisa,Viego,Graves,Kindred,Sylas,Samira,Nautilus,False
505,Shen,Volibear,Lucian,Kaisa,Syndra,Tryndamere,Qiyana,Galio,Vayne,Renata,False
506,Qiyana,Varus,Senna,Rengar,Taliyah,Samira,Sylas,Leona,Malphite,Yasuo,True
507,Tryndamere,Viego,Kaisa,Xayah,Nautilus,Yone,RekSai,Katarina,Samira,Rakan,True
508,Leblanc,Kindred,Fiora,Xayah,Renata,Tryndamere,RekSai,Vex,Aphelios,Seraphine,False
509,Jayce,LeeSin,Ahri,Kaisa,Nautilus,Gangplank,Gragas,Talon,Jhin,Karma,False
511,LeeSin,Jayce,Leblanc,Ezreal,Rakan,Gnar,Nidalee,Vex,Aphelios,Pyke,False
512,Graves,LeeSin,Orianna,Zeri,Sett,Yone,RekSai,Zoe,Samira,Nautilus,False
513,Volibear,Hecarim,Kaisa,Samira,Renata,Akshan,Kayn,Ahri,Aphelios,TahmKench,False
514,Warwick,Viego,TwistedFate,Sett,Senna,Tryndamere,Hecarim,Galio,Xayah,Karma,False
515,Jayce,Hecarim,TwistedFate,Ziggs,Alistar,Malphite,Talon,Kaisa,Samira,Nautilus,True
516,Graves,Volibear,Kaisa,Zeri,Renata,Poppy,Nidalee,Qiyana,Ezreal,Karma,False
517,Malphite,Viego,Leblanc,Kaisa,Blitzcrank,Zeri,LeeSin,Syndra,Jayce,Seraphine,False
518,Yasuo,Zac,Galio,Tryndamere,Nautilus,Gwen,Graves,Ahri,Ezreal,Karma,False
520,LeeSin,Diana,Zoe,Samira,Sett,Lulu,Viego,Galio,Kaisa,Nautilus,True
521,Graves,Shaco,Ahri,Tristana,Leona,Vayne,Hecarim,Galio,Zeri,Rakan,True
522,Volibear,Talon,Ahri,Ezreal,Karma,Akali,Hecarim,Kaisa,Jhin,Lux,True
523,Pantheon,Karma,Leblanc,Vayne,LeeSin,Syndra,Kindred,Akali,Kaisa,Seraphine,False
524,Zed,Jinx,Chogath,Rumble,Tristana,Corki,Fiora,Malphite,Riven,Caitlyn,False
525,Pyke,LeeSin,Ahri,Lucian,Graves,Jayce,Kayn,Zoe,Aphelios,Nautilus,True
526,Shen,Viego,Ahri,Jhin,Leona,Camille,LeeSin,Sylas,Aphelios,Sett,False
527,Nocturne,Kindred,Syndra,Samira,Nautilus,Fiora,Nidalee,Galio,Zeri,Leona,False
528,Jayce,Tryndamere,Nidalee,Xayah,Leona,Lulu,XinZhao,Azir,Kaisa,Nautilus,True
529,Irelia,RekSai,Leblanc,Kaisa,Renata,Yone,LeeSin,Ahri,Zeri,Rakan,True
530,Akali,LeeSin,Leblanc,Jhin,Sett,Camille,Viego,Galio,Ezreal,Rakan,False
531,Malphite,Hecarim,Ahri,Vayne,Rell,Kaisa,LeeSin,Gragas,Samira,Nautilus,False
532,Lulu,Hecarim,Zoe,Jinx,Rakan,Aatrox,Kayn,Galio,Xayah,Yuumi,True
534,Ahri,RekSai,Ornn,Kaisa,Renata,Gragas,LeeSin,Viktor,Jinx,Lulu,True
535,Volibear,LeeSin,Kaisa,Tristana,Leona,Graves,RekSai,Taliyah,Zeri,Nautilus,False
536,MonkeyKing,Lucian,Swain,Lulu,TwistedFate,Gangplank,Ashe,Karma,Pyke,Tryndamere,True
537,Rumble,Nidalee,Akshan,Aphelios,Renata,Tryndamere,Samira,Ryze,Hecarim,Rell,False
538,Akshan,LeeSin,Orianna,Samira,Leona,Graves,Akali,Kaisa,Irelia,Sett,True
539,Lux,Kassadin,Amumu,Shyvana,Anivia,Yuumi,Velkoz,Yasuo,Pyke,Yone,True
540,Gragas,Viego,Kaisa,Jhin,Renata,Lulu,LeeSin,Orianna,Tristana,Camille,False
541,Jax,Shaco,Zoe,Zeri,Nautilus,Tryndamere,Kayn,Kaisa,Tristana,Sett,True
542,Fiora,LeeSin,Orianna,Jinx,TahmKench,Shen,Gragas,Irelia,Kaisa,Sett,False
543,Ryze,Kayn,Graves,Jinx,TahmKench,Tryndamere,LeeSin,Galio,Ezreal,Karma,False
544,Gnar,Hecarim,Orianna,Ezreal,Renata,Sylas,Diana,Yasuo,Jinx,Nautilus,False
545,Warwick,Hecarim,Viktor,Vayne,Nautilus,Tryndamere,Trundle,Syndra,Jinx,Sett,True
546,Graves,LeeSin,Vex,Xayah,Renata,Fiora,Volibear,Leblanc,Varus,Karma,False
547,Volibear,Hecarim,Zoe,Xayah,Yuumi,Gnar,Talon,Leblanc,Ezreal,Renata,True
548,Jayce,RekSai,Ahri,Xayah,Rakan,Ekko,Viego,Malphite,Jinx,Leona,False
549,Jax,LeeSin,Ahri,Lucian,Leona,Kennen,Taliyah,Qiyana,Draven,Sett,False
550,Lulu,LeeSin,Katarina,Samira,Blitzcrank,Renekton,RekSai,Ryze,Kaisa,Nautilus,True
551,Kennen,RekSai,Vex,Kaisa,Sett,Tryndamere,LeeSin,Galio,Ezreal,Nautilus,False
552,Jayce,LeeSin,Fizz,Zeri,Alistar,Malphite,Samira,Ahri,Taliyah,Viego,False
554,LeeSin,Zed,Zilean,Senna,Ezreal,Jayce,RekSai,Ahri,Xayah,Renata,False
555,Kennen,Diana,Lucian,Xayah,Pyke,Camille,LeeSin,Vex,Kaisa,Nautilus,False
556,Jayce,LeeSin,Kaisa,Zeri,Yuumi,Rumble,Poppy,Zoe,Xayah,Renata,False
557,DrMundo,Rammus,TwistedFate,Lucian,Yuumi,Aatrox,RekSai,Kaisa,Ziggs,Bard,False
558,Gwen,Qiyana,Vex,Jinx,Soraka,MissFortune,Nidalee,Akali,Malphite,Rakan,True
559,Shen,Viego,Vex,Xayah,Alistar,Karma,Zed,Samira,Sylas,Ahri,True
560,Akali,Volibear,Leblanc,Aphelios,Rakan,Kennen,Vi,Vex,Samira,Nautilus,True
562,Renekton,LeeSin,Vex,Aphelios,Rakan,Shen,XinZhao,Akali,Kaisa,Nautilus,True
563,Nidalee,Gnar,LeeSin,Aphelios,Ahri,Graves,Viego,Yone,Xayah,Renata,True
564,Morgana,LeeSin,Leblanc,Caitlyn,Lux,Fiora,Darius,Ahri,Jhin,Thresh,True
565,Jayce,Lillia,Ryze,Xayah,Viego,Graves,RekSai,Ahri,Jhin,Leona,True
566,Lulu,LeeSin,Ahri,Samira,Nautilus,Jayce,RekSai,Akali,Xayah,Leona,False
567,Aatrox,Shyvana,Tryndamere,Xayah,Alistar,Volibear,LeeSin,Kaisa,Vayne,Nautilus,True
569,Jayce,Hecarim,Viktor,LeeSin,Senna,Kennen,Kayn,Leblanc,Jinx,Thresh,False
570,Graves,Talon,Zoe,Xayah,Nautilus,Renekton,Hecarim,Vex,Jinx,Thresh,False
571,Nidalee,Zeri,Varus,Darius,Annie,Lux,Aatrox,Shaco,Rumble,Sejuani,False
572,Jax,Kindred,Trundle,Lulu,Jinx,Hecarim,Gragas,Ekko,Kaisa,TahmKench,True
573,Fiora,Kindred,Akali,Kaisa,Nautilus,Kennen,Hecarim,Veigar,Xayah,Karma,False
575,Graves,Trundle,Sylas,Ezreal,Renata,Malphite,LeeSin,Zed,Kaisa,Leona,True
576,Graves,Volibear,Sylas,Draven,Nautilus,Poppy,Hecarim,Leblanc,Kaisa,Renata,True
577,Jax,Graves,Orianna,Xayah,Leona,Gragas,Talon,Ahri,Aphelios,Thresh,True
